Cc,initial void ratio,liquid limit /%,plastic limit /%
0.336238,2.175367327,60.19199913,23.59068996
0.497448,2.415721626,68.60548712,30.98501985
0.492842,2.577278905,73.36903304,31.13206628
0.633325,2.862407123,72.23562772,39.54373198
0.631022,3.025997493,72.98017497,37.0853541
0.842898,3.823241634,94.0526944,41.57124274
0.985684,4.254923803,106.3463123,43.86799369
1.004108,4.483413891,105.3534146,41.85257197
0.280966,2.205516869,56.27307537,26.10200324
0.290178,2.093374186,50.52508161,20.81766233
0.287875,1.78634005,68.92331419,28.30523431
0.294784,1.929912953,46.84783698,20.70695903
0.297087,1.678468872,58.01872283,20.70570034
0.320117,1.910930538,51.15505823,25.09997374
0.320117,1.818483947,39.71660988,19.04163353
0.310905,1.699406703,41.08254639,19.55667125
0.227997,1.573489194,49.86666667,15.1
0.297087,1.979332793,58.17284101,24.12690427
0.303996,2.138317877,57.64343268,24.26399582
0.267148,2.109575703,56.39367788,27.28119168
0.423752,2.361487193,59.58399893,24.82870213
0.513569,2.500402454,58.6394944,26.31308159
0.373086,2.195273014,53.25102003,22.31923993
0.587265,2.609709952,67.95614307,29.57147576
0.421449,2.117511823,51.21836149,23.86011577
0.66787,2.887290149,74.83987898,34.66227012
0.555023,2.4385,71,43
0.803747,3.4846,100,72
0.607992,2.633,77,48
0.264845,1.495,54,28
0.435267,2.284,78,51
0.285572,1.661,59,33
0.566538,2.601,81,53
0.12,0.753,28,14
0.136,0.762,28,8
0.27,0.956,35,17.8
0.229,0.913,35,14
0.24,1.065,39,20
0.21,1.084,39,16
0.27,1.208,45.3,23.3
0.21,1.191,46,21
0.3,1.362,53,26
0.32,1.653,58,32
0.337,1.589,58,31
0.446,1.707,62.3,38
0.494,1.829,67.5,41
0.42,1.911,69,41
0.48,2.029,76,47
0.49,2.087,77,49
0.69,2.656,91.3,59.3
0.91,3.518,127,91
0.81,3.302,128,97
1.05,4.443,159.3,113.3
0.52888954,1.9114084,91,53
0.57667011,2.1626462,91,53
0.60117977,2.4007163,91,53
0.64223566,2.6588012,91,53
0.69444035,3.0427684,91,53
0.70116502,3.2608238,91,53
0.74115912,3.4988939,91,53
0.74779531,3.7301169,91,53
0.78442708,4.1867692,91,53
0.80221206,4.5043716,91,53
0.79778794,4.5702096,91,53
0.35555228,1.372093,74,41
0.42332989,1.8402808,74,41
0.47004867,2.12681,74,41
0.52446542,2.2974989,74,41
0.56339773,2.4519526,74,41
0.60445362,2.8157086,74,41
0.63117534,3.0469504,74,41
0.65338446,3.1627907,74,41
0.66223271,3.3501536,74,41
0.70780121,3.7191751,74,41
0.73222239,3.7248793,74,41
0.24999263,1.149197,61,31
0.26335349,1.292372,61,31
0.33785577,1.6117622,61,31
0.35112815,1.7120226,61,31
0.40227105,1.9121636,61,31
0.43890282,2.093316,61,31
0.44562749,2.3223199,61,31
0.45889987,2.4844835,61,31
0.49783218,2.6751302,61,31
0.48447132,2.7658963,61,31
0.26,1,44.5,22.1
0.29939,1.6,48.1,22.1
0.218785,1.086,44,21
0.918897,2.960719539,121.867018,55.24076761
0.865928,4.030830659,98.92283915,40.34477785
0.274057,1.782769152,42.96052922,19.01978637
0.603386,2.886516416,72.73192388,30.8155543
0.37,1.776,66,32.3
0.38,1.694,72.1,34.8
0.34,1.721,86.6,42.3
0.72,3.384,138.6,70
0.983381,4.192,127.1,91.1
0.163513,0.843,25,12
0.26,1.01,44.5,22.1
0.29,1.12,44.5,22.1
0.421,1.45,38.6,15.2
0.271754,1.446716981,47.06666667,19.13333334
0.264845,1.974218926,52.6,13.43333333
0.497448,2.415721626,68.60548712,30.98501985
0.842898,3.823241634,94.0526944,41.57124274
0.290178,2.093374186,50.52508161,20.81766233
0.320117,1.910930538,51.15505823,25.09997374
0.297087,1.979332793,58.17284101,24.12690427
0.513569,2.500402454,58.6394944,26.31308159
0.66787,2.887290149,74.83987898,34.66227012
0.264845,1.495,54,28
0.12,0.676095472,28,14
0.24,1.082190945,39,20
0.3,1.350238681,53,26
0.494,1.869593028,67.5,41
0.69,2.641548966,91.3,59.3
0.52888954,1.9114084,91,53
0.69444035,3.0427684,91,53
0.78442708,4.1867692,91,53
0.42332989,1.8402808,74,41
0.60445362,2.8157086,74,41
0.70780121,3.7191751,74,41
0.33785577,1.6117622,61,31
0.44562749,2.3223199,61,31
0.53667601,3.047309,61,31
0.378,1.29,52.7,29.1
0.405,1.37,31.8,13.6
0.2303,1.224446678,47.06666667,19.13333334
0.308602,1.85906194,49.86666667,15.1
0.32242,2.5757833,79.82908397,23.18800301
0.824474,3.570196079,92.72191522,41.65430565
0.283269,1.973352941,74.52986862,26.22736847
0.313208,2.056067745,46.26693053,21.55701783
0.216482,1.730413551,52.6,13.43333333
0.356965,2.023581676,52.0430986,19.04808194
0.842898,3.163364201,85.2361268,33.0603361
0.891261,3.753,105,76
0.154,0.663,25,12
0.25,0.916,36,18
0.297,1.288,46.7,24.7
0.32,1.782,67,37
0.56,2.332,88,56
0.48332104,1.7133677,91,53
0.66895738,2.910039,91,53
0.75115765,4.0013694,91,53
0.3878484,1.5866608,74,41
0.56560979,2.5730584,74,41
0.71001327,3.5537516,74,41
0.29449934,1.5209961,61,31
0.43669075,2.2030707,61,31
0.50889249,2.8946398,61,31
0.53667601,3.047309,61,31
